rawVesNames,mappedVesNames
TORM MEGNES,TORM AGNES
SANTIMEGO I,SANTIAGO I
AQUALEGECY,AQUALEGACY
AEGAN MYTH,AEGEAN MYTH
GEORGIA M/LRI,GEORGIA M
SEALEGEND/LR2,SEALEGEND
EASTERLY CAYON,EASTERLY CANYON
ECO MARINA DEL RAY,ECO MARINA DEL REY
FMPC P IDEAL,FPMC P IDEAL
GRAND WINER I,GRAND WINER 1
HORIZON APHROTITE,HORIZON APHRODITE
JAG PAHEL,M.T.JAG PAHEL
JMEG PRABHA,JAG PRABHA
KRITI RICK,KRITI ROCK
MAERKS AEGEAN,MAERSK AEGEAN
MMEGNOLIA EXPRESS,MAGNOLIA EXPRESS
SHAN HU ZUO - CHENNAI 27/I0,SHAN HU ZUO
SILVER MILIE,SILVER MILLIE
STAR EMEGLE,STAR EAGLE
EUROVICTORY,EURO VICTORY
CH.HANG GUANG RONG,CHANG HANG GUANG RONG
OCTO LUNE,OCTA LUNE
SILVER ERVILLA,SILVER ERVILIA
MANGA GALATASARAY,MANTA GALATASARAY
PANTERIS,PANTELIS
JMEG PRANAM,JAG PRANAM
STI FONTVIELLE,S FONTVIEILLE
C.HANG GUANG RONG,CHANG HANG GUANG RONG
SUNSHINE EXPRES,SUNSHINE EXPRESS
ARDOMORE SEAVALIANT,ARDMORE SEAVALIANT
PS CROWN,PM CROWN
ARD.SEAVALIANT,SEA VALIANT
LADYBUT,LADYBUG
AMAZ.FORTITUDE,AMAZON FORTITUDE
SILVER ELIE,SILVER ELLIE
YELLOW STAR,YELLOW STARS
HIGH DICOVERY,HIGH DISCOVERY
